status,articleId,target,knowhow,where,reason,judged
採用,37,lesson:technical,サイトマップの並び順ではクロール順は決まらないので、順番の調整に工数を使わない。,body,実ログ19万件で無相関を確認済み。工数の割り振りが変わる恒久的な判断基準で、既存の到達チェックに無い。,2026-09-10
採用,38,lesson:geo-implementation,llms.txtはAIクローラーに読まれない前提で置き、robots.txtでのAIクローラー許可を先に確認する。,body,自サイトの29日分の実ログが根拠。優先順位の判断に直結し、既存チェックはrobots.txtしか触れていない。,2026-09-10
採用,63,lesson:search-intent,キーワードを増やすのではなく、1ページの中で隣り合う複数の意図に見出し単位で答える。,body,Google公式がfan-outを定義済み。ページ構成の作り方が変わり、既存チェックは意図の書き出しまでしかない。,2026-09-10
採用,64,lesson:updates-risk,リンク否認とアルゴリズム変動からの回復は数ヶ月かかるため、数週間の変動を対策の効果と読まない。,checklist,Google社員の直接回答が根拠。切り分けの判断基準として恒久的で、既存の「見る順番」には期間の観点が無い。,2026-09-10
採用,67,lesson:measurement,AI可視性は1回の順位ではなく、名前・推奨・引用を分けた出現率で測り、2〜4週間の期間どうしを比べる。,checklist,論文と大規模調査が根拠。計測手順がそのまま変わる。既存チェックに反復回数と期間比較の指定が無い。,2026-09-10
採用,68,lesson:measurement,Microsoft ClarityのCitationsで、引用されたページとgrounding queryの組み合わせを見る。,checklist,Clarity公式ドキュメントが根拠。無料で今日から実行でき、既存チェックの参照元分けとは別の計測手段。,2026-09-10
採用,70,lesson:snippet,ChatGPTはmeta descriptionを使わず本文の先頭200字を切り出すので、結論を本文の冒頭に置く。,body,自サイトの実測383件が根拠。本文の並べ方が変わる。既存チェックはmeta descriptionの固有性までしか見ていない。,2026-09-10
採用,71,lesson:brand-entity,AI可視性の計測は無条件の質問だけでなく、条件を足した質問でも行う。候補ブランドが入れ替わるため。,checklist,自サイトの実測が根拠。既存チェックは「複数回投げる」だけで、条件の振り方を指定していない。,2026-09-10
却下,30,-,,,標本1件の観測記録で、読者が自分のサイトで再現できる手順にならない（条件2）。,2026-09-10
却下,33,-,,,施策の優先順位はレッスン14の到達チェックに同じ内容が既にある（条件3）。,2026-09-10
却下,35,-,,,出典が他媒体の論考のみで一次情報の裏付けが無い。記事33の実験結果とも重複（条件3・4）。,2026-09-10
却下,36,-,,,4レポートの点検はレッスン02・11の到達チェックが既に覆っている（条件3）。,2026-09-10
却下,40,-,,,仕組みの解説が中心で、読者の作業が変わる手順・判断基準が無い（条件2）。,2026-09-10
却下,41,-,,,有料プランのモデル追加で、記事自身がサイト側の変更は不要と書いている（条件1・2）。,2026-09-10
却下,61,-,,,候補リストに入る条件は記事33と重複し、順位の決まり方は未公開で作業に落ちない（条件2・3）。,2026-09-10
却下,65,-,,,出典が他媒体の論考のみ。同じ趣旨を実ログで示した記事38を採用済み（条件3・4）。,2026-09-10
却下,66,-,,,開発方針についての発言で、記事自身がサイト側の変更は不要と書いている（条件1・2）。,2026-09-10
却下,69,-,,,公式未確認の一時的な不具合で、数ヶ月後には通じない（条件1・4）。,2026-09-10
却下,73,-,,,指標を分けて読む点は記事67と重複し、サイト側の作業は変わらない（条件2・3）。,2026-09-10
