# AI検索（ChatGPT / Perplexity / AI Overview）で打たれると想定した日本語プロンプトの一覧。
# **実測値ではなく想定**（検索クエリのログではない）。実際に引用された記録が取れたら status と note を更新する。
# status: 対象=このサイトで答えを持つべき / 保留=当面狙わない
# 使い方: npm run build && npm run prompt-gap
status,category,prompt,note
対象,geo,GEO対策とは何ですか,サイトの主題。定義の直答が必要
対象,geo,AI検索で自社サイトが引用されるにはどうすればいいですか,主要プロンプト
対象,geo,ChatGPTに自社サイトを引用してもらう方法はありますか,
対象,geo,llms.txtは必要ですか,判断を聞く形。必要／不要を条件つきで言い切る
対象,geo,GPTBotは許可すべきですか拒否すべきですか,
対象,geo,robots.txtでAIクローラーを制御する書き方を教えてください,ひな形が /learn/geo-implementation にある
対象,geo,AI Overviewに表示されるための条件は何ですか,
対象,geo,Perplexityに引用されやすいサイトの特徴は何ですか,
対象,geo,構造化データはAI検索の引用に効果がありますか,記事35が該当
対象,geo,GEO対策とSEO対策の違いは何ですか,比較の意図
対象,geo,自社サイトが生成AIに引用されているか調べる方法はありますか,
対象,geo,AI検索経由の流入はGA4でどう計測しますか,
対象,geo,AI検索で引用されやすい記事構成を教えてください,
対象,geo,自社ブランドがChatGPTでどう説明されているか確認する方法はありますか,
対象,geo,GEO対策の費用はいくらくらいかかりますか,費用の意図。金額を書けるか
対象,geo,GEO対策ツールのおすすめを教えてください,/tools が該当
対象,seo,SEO対策とは何ですか,
対象,seo,個人ブログのSEOで最初にやることは何ですか,
対象,seo,タイトルタグは何文字までにすべきですか,数値の直答
対象,seo,検索順位が下がったときに確認することは何ですか,
対象,seo,コアアップデートで順位が落ちたらどうすればいいですか,
対象,seo,内部リンクの貼り方のコツを教えてください,
対象,seo,AIで書いた記事はGoogleからペナルティを受けますか,判断の意図
対象,seo,被リンクは今でもSEOに重要ですか,
対象,seo,ロングテールキーワードの探し方を教えてください,
対象,seo,サイトを立ち上げた最初の1週間にやるSEOは何ですか,
対象,seo,検索意図の調べ方を教えてください,
対象,seo,noindexとcanonicalはどう使い分けますか,
